id,filename,hero,txt,info
43466,00000000A9CA,바스티온,기계음,
43467,00000000A9CB,바스티온,기계음,
43469,00000000A9CD,바스티온,기계음,
43471,00000000A9CF,바스티온,기계음,
43477,00000000A9D5,바스티온,기계음,
43478,00000000A9D6,바스티온,기계음,
43479,00000000A9D7,바스티온,기계음,
43480,00000000A9D8,바스티온,기계음,
43481,00000000A9D9,바스티온,기계음,
43482,00000000A9DA,바스티온,기계음,
43483,00000000A9DB,바스티온,기계음,
43484,00000000A9DC,바스티온,기계음,
43485,00000000A9DD,바스티온,기계음,
43486,00000000A9DE,바스티온,기계음,
43487,00000000A9DF,바스티온,기계음,
43488,00000000A9E0,바스티온,기계음,
43489,00000000A9E1,바스티온,기계음,
43490,00000000A9E2,바스티온,기계음,
43491,00000000A9E3,바스티온,기계음,
43492,00000000A9E4,바스티온,기계음,
43493,00000000A9E5,바스티온,기계음,
43494,00000000A9E6,바스티온,기계음,
43495,00000000A9E7,바스티온,기계음,
43496,00000000A9E8,바스티온,기계음,
43497,00000000A9E9,바스티온,기계음,
43498,00000000A9EA,바스티온,기계음,
43499,00000000A9EB,바스티온,기계음,
43500,00000000A9EC,바스티온,기계음,
43501,00000000A9ED,바스티온,기계음,
43502,00000000A9EE,바스티온,기계음,
43503,00000000A9EF,바스티온,기계음,
43504,00000000A9F0,바스티온,기계음,
43505,00000000A9F1,바스티온,기계음,
43506,00000000A9F2,바스티온,기계음,
43507,00000000A9F3,바스티온,기계음,
43508,00000000A9F4,바스티온,기계음,
43509,00000000A9F5,바스티온,기계음,
43510,00000000A9F6,바스티온,기계음,
43514,00000000A9FA,바스티온,기계음,
43515,00000000A9FB,바스티온,기계음,
43516,00000000A9FC,바스티온,기계음,
43517,00000000A9FD,바스티온,기계음,
43518,00000000A9FE,바스티온,기계음,
43519,00000000A9FF,바스티온,기계음,
43520,00000000AA00,바스티온,기계음,
43521,00000000AA01,바스티온,기계음,
43522,00000000AA02,바스티온,기계음,
43523,00000000AA03,바스티온,기계음,
43524,00000000AA04,바스티온,기계음,
43525,00000000AA05,바스티온,기계음,
43526,00000000AA06,바스티온,기계음,
43527,00000000AA07,바스티온,기계음,
43528,00000000AA08,바스티온,기계음,
43529,00000000AA09,바스티온,기계음,
43530,00000000AA0A,바스티온,기계음,
43531,00000000AA0B,바스티온,기계음,
43532,00000000AA0C,바스티온,기계음,
43533,00000000AA0D,바스티온,기계음,
43534,00000000AA0E,바스티온,기계음,
43535,00000000AA0F,바스티온,기계음,
43536,00000000AA10,바스티온,기계음,
43537,00000000AA11,바스티온,기계음,
43538,00000000AA12,바스티온,기계음,
43539,00000000AA13,바스티온,기계음,
43540,00000000AA14,바스티온,기계음,
43541,00000000AA15,바스티온,기계음,
43542,00000000AA16,바스티온,기계음,
43543,00000000AA17,바스티온,기계음,
43544,00000000AA18,바스티온,기계음,
43545,00000000AA19,바스티온,기계음,
43546,00000000AA1A,바스티온,기계음,
43547,00000000AA1B,바스티온,기계음,
43548,00000000AA1C,바스티온,기계음,
43549,00000000AA1D,바스티온,기계음,
43550,00000000AA1E,바스티온,기계음,
43551,00000000AA1F,바스티온,기계음,
43552,00000000AA20,바스티온,기계음,
43553,00000000AA21,바스티온,기계음,
43554,00000000AA22,바스티온,기계음,
43555,00000000AA23,바스티온,기계음,
43556,00000000AA24,바스티온,기계음,
43557,00000000AA25,바스티온,기계음,
43558,00000000AA26,바스티온,기계음,
43559,00000000AA27,바스티온,기계음,
43560,00000000AA28,바스티온,기계음,
43561,00000000AA29,바스티온,기계음,
43562,00000000AA2A,바스티온,기계음,
43563,00000000AA2B,바스티온,기계음,
43564,00000000AA2C,바스티온,기계음,
43565,00000000AA2D,바스티온,기계음,
43566,00000000AA2E,바스티온,기계음,
43567,00000000AA2F,바스티온,기계음,
43568,00000000AA30,바스티온,기계음,
43569,00000000AA31,바스티온,기계음,
43570,00000000AA32,바스티온,기계음,
43571,00000000AA33,바스티온,기계음,
